Formula,Query Result,Total Evaluation Time
SwimmingPool-PT-05-CTLCardinality-5,FALSE,0.165
SwimmingPool-PT-05-CTLCardinality-6,TRUE,0.156
SwimmingPool-PT-05-CTLCardinality-7,TRUE,117.131
SwimmingPool-PT-05-CTLCardinality-8,FALSE,0.884
SwimmingPool-PT-06-CTLCardinality-0,FALSE,191.096
SwimmingPool-PT-06-CTLCardinality-9,FALSE,169.661
SwimmingPool-PT-06-CTLCardinality-10,TRUE,0.205
SwimmingPool-PT-06-CTLCardinality-11,,
SwimmingPool-PT-06-CTLCardinality-12,FALSE,221.396
SwimmingPool-PT-06-CTLCardinality-13,,
SwimmingPool-PT-06-CTLCardinality-14,FALSE,113.499
SwimmingPool-PT-06-CTLCardinality-15,FALSE,982922
SwimmingPool-PT-06-CTLCardinality-1,FALSE,183.285
SwimmingPool-PT-06-CTLCardinality-2,TRUE,251.69
SwimmingPool-PT-06-CTLCardinality-3,FALSE,171.13
SwimmingPool-PT-06-CTLCardinality-4,FALSE,0.333
SwimmingPool-PT-06-CTLCardinality-5,TRUE,113.767
SwimmingPool-PT-06-CTLCardinality-6,,
SwimmingPool-PT-06-CTLCardinality-7,TRUE,0.26
SwimmingPool-PT-06-CTLCardinality-8,,
SwimmingPool-PT-09-CTLCardinality-0,,
SwimmingPool-PT-09-CTLCardinality-9,FALSE,0.192
SwimmingPool-PT-09-CTLCardinality-10,,
SwimmingPool-PT-09-CTLCardinality-11,,
SwimmingPool-PT-09-CTLCardinality-12,TRUE,394.732
SwimmingPool-PT-09-CTLCardinality-13,,
SwimmingPool-PT-09-CTLCardinality-14,FALSE,0.114
SwimmingPool-PT-09-CTLCardinality-15,,
SwimmingPool-PT-09-CTLCardinality-1,,
SwimmingPool-PT-09-CTLCardinality-2,TRUE,46.792
SwimmingPool-PT-09-CTLCardinality-3,TRUE,319.971
SwimmingPool-PT-09-CTLCardinality-4,FALSE,1.147
